id,trieda
04d0c2ef770667908bff95308f0936b11cfaf92e827a93c2195a33f4b676c1c0,linkury
04e64658d8664b208fd17f9b1c3c24e09bf30c2108cd32f0f118e7c238bc4036,linkury
04fdd3d8a5582df15dc9865586a119ae2b791db7529337057844ebfd4f1ee628,linkury
0768558cbd727e8120f8a7d89e4ed5195b6112f0d7b7118ca74edd6d0dd818d0,linkury
078f57d4da576cdd5195087a6c0049ed1d9e6abf7c1f86d28d22f79652679c3c,linkury
092b9c53565fc4951c07f9182bef68a267f59a18e138b9d857b0cdd8e569d14a,wannacry
09497bd3f80410cb80a0de9bca725d2071044ae8816bfd8658372574a3724fe4,linkury
09a46b3e1be080745a6d8d88d6b5bd351b1c7586ae0dc94d0c238ee36421cafa,wannacry
09d1bf66dede443564ea88157c33f36bc25c45f874085c5fdace613e331f8eaf,wannacry
0a22de5abef2bb02172a47fbd502b9ae5f829f88f46d2d619544da697d2b1808,wannacry
0ee75e8eafb61bb3e4727894d412a6df15f601c484361de7034664b52c8aa61e,linkury
0f7247418339c334f44cd0e60787b54cc7f9fa959850598200e975b647c6afa4,wannacry
0faa19a3a57519c1995dc31bbcc00fb9ac43cd101de719c2fb083c53dbd5c940,wannacry
0fdad21451920e207e4565f7de8c2b071ff62d76401cf8142a33870a1c72de8d,wannacry
100ac0c485c209a2cd0e5aa9e5ccd03a1ebb428e39e0ae74d1a8161cd20d63a1,wannacry
1042c09c736ab0675b01a39f39b2b5c8fdc3124c1390ee3f5c8dc31d575745be,linkury
1096e30cb0ac6817a6f17ada7dc02c83208ccd20690db073c978211940634b57,wannacry
12c295d35ce22ed730369bf579b0ab135ead7023cab1cb3b674e8a99909a54b7,wannacry
12e5afecc172d3f0b379d1e762e4f3ec2a44647f5c744b75628e03b35c64b10c,linkury
137d734d98e08edf727b18c14d229be852df91bcb8fc445746237abb78fdc385,linkury
13d3713f5a542445653a8798a6852d5a0caf2a505bb93e1b9aba7c329e4716ac,linkury
1515a201cd7a5f581419e18da6e30680699fa6bc09e2c5cea72fe61a15842a99,wannacry
15a9ee196eed68fb93adafbdd6c92e1572309deea6550ca21384d15ca2e664f9,linkury
160c8e26a5ee29bf36a4b3a20ad6109837555ec692890fb1a96b719943292d48,wannacry
16493ecc4c4bc5746acbe96bd8af001f733114070d694db76ea7b5a0de7ad0ab,wannacry
16f48c34838eb08f83600894ca828856c16e541448813e26433757f63d7f3f2e,linkury
16fa3b23862e9f92b39f43cbc0d6e5b99d63de1fa3b64ed3547b05de151c3767,linkury
17e833184b170ba9eb17d88121d4414c931eae1eccd6b1682037e4629f0e815b,linkury
17eb4582c8444b4287721929e373b1385120a910f4c524a3fd6f84f0904153ef,linkury
18f3a034198953efc571ed90f9c6fababa1aaaf7011f2eeb07502bab9b5a364e,wannacry
191d552dc43adf7222331018549c5e399f13458abc6e37bb22a35f771106a90b,linkury
1a49ec6d5b4d5208d731c706e76724e0c7bee1736588678578c67dc3560c4862,linkury
1a5bff109b4e5b8081c44423a9d420b805c9d1374dafe3dcba597721106e0187,linkury
1ad70e1f6bf4e5a6cd62bb2f6d53ed9b3a983224245f7aa20570448658c833eb,wannacry
1bcc338669cd0c50b06c6d06f15e9e84547a61891246c1efbc64143b29cb398f,linkury
1bd1720b6337a46364667b55664fd684e3afb934ff803435c7bb39f1cfff2db7,linkury
1be853ad52d2ab39265c464b76e0c14c3650c00f3cc30fb86670fa62df7c8306,linkury
1cc8107415a0d3cac66f36adedfd525599d784cb5906840227c1f605d37c56e4,linkury
1d4bbaa7b85d5f3d599d955436fe39697d30b27075ecacbae83e49ac1d15c0e9,wannacry
1d8fb7c0aabc9862fab17e9ba886ab537f7740358c0da5108246b19ace9808fd,wannacry
1dd9d944c1fd52ece9a50caf92e4e95be75279841acd1865eb5ce374ddf0492c,wannacry
1ed35fbc722a40a78cade8caacca019a2a5537d1f79cf69b2ad97f98d39f90ea,linkury
20037219d0e50974d248ee7a8541579a74b938b4830cf402424634f9642b4ec5,linkury
2026b2a66fd76acbcf9d2f433e7934695d251953adc300f563741deda8acd0b8,wannacry
2034cd07ad01f3f741b1e45ca9ca5428ed7aa8d954d96e71c1be20b946b83f31,wannacry
207a26e4d1c27453efd02fd4d74cf1cf5cffe3e7f059b66ac8a984dcf8aa4807,linkury
2081679a25a990fa46e7512dc42d72210a8a4e2402e6703e35ab79d27bae9a3e,wannacry
2083be965d615dabc13823d08da529a34dfb9461b6072e89c1c795523d19ba4d,linkury
21586bd3e1ef6a907213b33db7d0499c8c56a951b2ebcca626d29cb76e6178ed,wannacry
21a067466b82c667a4580728ab1c7356a77ed745455850d4a48f3e63796e95ea,linkury
21eb0741697a3b527ed7df7f2a09e0033a9c2272af3cb589b2ac1eca0e6fc622,linkury
221e2281431da8790a3348b250296d649ae7dfda0798ffba4140f8bdf9a60083,wannacry
22eee8774fb3400d39024b67f90fd63b06f42f28cd7d0212814ab5edcc09b0d0,linkury
23497c6034b158a5de3f618473c856901ecbba7cb7129618cec045500dac6419,linkury
23952d8d2d1ee765c555ddfe2b4c12f6f1b6f50a42a07c68257395b5e5639168,wannacry
23967d33724b69c7413af3a145c117df976cf42d637087a56bec8466b7a87d0f,linkury
242c67515257c8f477820c4bfb077ef8ffab30053c8bccf937e4f45c222cb454,linkury
2441186ca243107fbb36455f9484ac98d66cfe9f8b7f18005660ba98e7ff8c5c,wannacry
258eea0f1e3dd77b9793f789dd328f624ad91ce75a4327bd0a260330d03cc349,wannacry
265cf8afe9e20b59bb288b2e045a189104ee111d721710003c78ca19789f88c9,linkury
2711eb140ddf382587e06baa4f1024e6e7303211a14cddd79d937fe741d357b0,linkury
278ade30ce74a41b13448f17c021e472ae3b5281fedb679ca495751817964601,linkury
287b81c07d2bbd8ad03a6b249068eb9362b7e6daa92bc82c6581add45d7f1e44,linkury
295e85919fe3cc0d794fafe731a8489ecad75dbc54335d2564fe9fadfa418cf0,linkury
29a2fbd6486c9a6ca57d824773cc3dfbb0057503e0ca60dc3b56032181f9c7d5,wannacry
2a0d8af0cb54a2acaf728c78ff0f0b0018b997b117e054ff7d6f1155694b3ed2,wannacry
2a51910993f1719ba148263beb3ea53b57020f3948a0c841cda5a149a5f707c3,wannacry
2a77d1a45e42a7f822daa3692b241e28bb42b14584407ff067c592eef0117a53,linkury
2ba4c67e271763e05305aa7f37cf28b6fd889d522253ebb14ea4a66557fff4a3,linkury
2bd0985bad1b468abff45c2c5ef8be58ff31664fe11f2eebc833d74a8775a225,linkury
2c1446bda9685a41a82156abfbd969ac2f99daa0f4de1483d8cc5dc4dfbee252,wannacry
2ca2d550e603d74dedda03156023135b38da3630cb014e3d00b1263358c5f00d,wannacry
2ccaa31b1eb6863e740ea37b43912fa0078e43b2d508f555da9f86f9867bc85d,wannacry
2d5ffa35b48d5434c5294343543acd712775dba009ad83716e788789ff9b6508,wannacry
2dffe9c98a5e9710c525d0173be6c39763ab808cd2ba4e18cf1700306caf2908,wannacry
2e2b1291d9e7447325f97469682fe31331c8a6857074997248484f79e823dba3,linkury
2e338e1c45fd0a4aac1b03f6db51319f653866dbf86bcf51aa1d1c1a573de29c,wannacry
2edae4eb90d1fd0682d38fb7aa680211f88040aca6e09f7c62ca8f3dd916a9c4,linkury
2fa393e4e1b664df5fe16ddebf5f349f44d564c146b7171b36cd31871aa2b774,wannacry
324c0d64500f4f0fbcd5c4585e5b2db14847cc30184c293211e1ed2aea317877,linkury
32f088d54ee6c4fcd3a9f3a6f9ad660ddbdd37efdf9544e35743b625e4cd63bd,wannacry
337a9a4f037fbbae181005e0f73fa053833bb6c52c8a0e4fca1f264a4a302913,wannacry
35a694fba89f4171aef26f1f65e9d50baf5a85c0da16cf87a9ba7916d15e6cd5,wannacry
35b3fb8830c2cf1417ab380bfd69adb8272f961e0745e1465e9405e4b58df51d,linkury
361e39489c68778a360a55633aca884846f76df154dfc4d8cc8fcb09a328db05,linkury
36a47b3a7a06b7e080e14386016d9d2f1deb8d4212619e11eb0df8c9a72250dd,linkury
36b6f1e96e46eab932d9622bbd0b7e4e802718f783b95190af672bbe3f9adf1b,wannacry
38fafdfa72b43ffb7ac72f87cd0644ef150dc8283a45b019f27d457753cc3ace,wannacry
3adf2d0e995f78af3f4705b2d05d5542392dba8dca8a3089f1f1e83014cf2580,wannacry
3c39d582533c63db297f6d18bf229f75a1f8faa78a1a48cfe2b4bdaede096c8d,linkury
3d4a53de9ad17aebd1f6ed1df70506ff3842402b5d714126b65264b75cd7b3fc,linkury
3d6d18246b62fe191af09b6c22af346a321181512106e255c631919c5fd67a6c,wannacry
3e749898a706436aeff1204fa365b22e84796a2c280a182c6c95841088a225a2,wannacry
41124657a9ac99fbf143616bf1ccd72e052a65addcc2eb1a6a07783773886d39,linkury
419cc33daca8cd5e09f5539ae882452c384ca9daa988bc2b00dd46b50744dbe8,wannacry
42fc51d1c105d5d95a17b78b07a6de7cef07e390d1fddabeb247a8eb1c0bc8af,wannacry
43759fb8ecb4003787c8cc142e3116a7a35262e64493f6ac8a855622d578c170,wannacry
439cdf81c88930dead836af8982802cebd943938d337951e4480198e6c8322bb,linkury
450ede6c8214a9261739f8744baf60b693d92b1099a0fdb2ef812ed1d1b4ae0f,linkury
472cd5769e9dde2fe51bda7b1dfad1825b806157dad50485027e781cad344a08,wannacry
48ae8968611bba54371b97d1b77638ad48dca56a8f215cd4cbb82dbc49496bba,linkury
4a468603fdcb7a2eb5770705898cf9ef37aade532a7964642ecd705a74794b79,wannacry
4a59b40da06a52404dc0c6dc67c51230da6cf0e32a5787003b14bf918252981c,wannacry
4a7fce8af2a232671d0ae76928173fa458548bcd6636ce357e98d2a6e9f01372,wannacry
4ac407a77ed7f875712145e596d83b39a3c5d8c8109ba04e8128a7a4736b2b15,wannacry
4b6ae9f815889068f00c485cf3dd4588869cea36518d0ecf1af39bd146dfdc92,wannacry
4c0adf54363741e4bc32ee2e289577d1cccb1821d318be3acacd1cdbe68a5c26,wannacry
4c1597806f8ef7572139fdf5548bd55a141394e42f437c6ecd364a25b7adca88,wannacry
4cbb305a87f8e4d9e15efa17a09ab540ad9cf2792cbc0985ab1f55f4f0ce280b,wannacry
4e9e854baaa1ac6b5b74012d71a81f149f37bd5a74a95953abeb091d0d55bc5a,linkury
4eae237ca61b2c860df7b7c91ee6e9e400c8ada69770263dc3ff848716985991,linkury
4ed1d30a899de3224225e4cd9b6e7c56abfbcfa49397f63f85f6a7bc2b1cfdd6,linkury
4f1d42615243910671bd57edc678e409306e9e730b89024d74a87af79997320c,linkury
4f5381a7c062d5be7dc44742228e78da93f170d8dd12266a9dd7f389abe4c112,linkury
511897bfac109946e2e38f28559fd209428d231c5a5e411d99d371ec7cbe9a1f,linkury
516bac9f22d0c2483bdd085560070a2db373a133bd180f10d9d9e87cb10d01f0,wannacry
51e84accb6d311172acb45b3e7f857a18902265ce1600cfb504c5623c4b612ff,wannacry
521aa772993cad10abaaa68b326456000d48eeb16853d4e195e3e9a5000f908f,wannacry
52a3a855fcd23112aa2fcd1d5ed235a93cc480c5d7309c598ddd0466362a831d,wannacry
52b25b3ca08d9c1eabdd62e943f6a162953d7aada4d7c5a5e480832ff207b743,linkury
52e983e9c82e4b8700d02062762e4c46dd4577648c7817ce340736456282d15d,wannacry
5374acee06666a08f0877d5f4881946f836835152904eab47193e3fd0c6efa2b,wannacry
54134d0c14482a80d48607e1539c0b295d261771395d0b161d5446a5bce6caa0,linkury
543192101c3b9d95d33252cfa71338704b7dba2a0329e33d8d8ca37ac67677b9,wannacry
